timestamp,pm10
2019-07-25,36
2019-07-26,46
2019-07-27,37
2019-07-28,36
2019-07-29,34
2019-07-30,35
2019-07-31,33
2019-06-01,38
2019-06-02,43
2019-06-03,47
2019-06-04,48
2019-06-05,48
2019-06-06,46
2019-06-07,33
2019-06-08,44
2019-06-09,41
2019-06-10,46
2019-06-11,49
2019-06-12,31
2019-06-13,38
2019-06-14,38
2019-06-15,45
2019-06-16,42
2019-06-17,42
2019-06-18,48
2019-06-19,48
2019-06-20,47
2019-06-21,39
2019-06-22,38
2019-06-23,44
2019-06-24,45
2019-06-25,48
2019-06-26,45
2019-06-27,52
2019-06-28,50
2019-06-29,53
2019-06-30,100
2019-05-01,-
2019-05-02,-
2019-05-03,-
2019-05-04,-
2019-05-05,-
2019-05-06,-
2019-05-07,-
2019-05-08,39
2019-05-09,37
2019-05-10,42
2019-05-11,43
2019-05-12,42
2019-05-13,42
2019-05-14,44
2019-05-15,47
2019-05-16,48
2019-05-17,54
2019-05-18,40
2019-05-19,41
2019-05-20,37
2019-05-21,42
2019-05-22,47
2019-05-23,45
2019-05-24,46
2019-05-25,50
2019-05-26,42
2019-05-27,37
2019-05-28,37
2019-05-29,32
2019-05-30,33
2019-05-31,37
